84, 83032
72, 45923
93, 45938
53, 54384
59, 55529
16, 49957
68, 48162
91, 48299
50, 64723
47, 59954
27, 56792
02, 54358
21, 64258
75, 56472
34, 65503
79, 68078
11, 59452
08, 56667
61, 46528
45, 67534
81, 64377
66, 65856
28, 69441
78, 61632
24, 75273
31, 73117
30, 63087
72, 71505
32, 47688
88, 60828
76, 58013
58, 58839
27, 58240
81, 54916
14, 58969
87, 60627
05, 54271
35, 51750
28, 61983
80, 61069
71, 62428
27, 59104
19, 64520
99, 60968
48, 64911
39, 60005
73, 59937
36, 56997
09, 60157
67, 65017
81, 61321
15, 59067
52, 62601
10, 64767
58, 58140
57, 60585
93, 62681
02, 52948
59, 56889
69, 58354
31, 59555
34, 60382
25, 59723
47, 108100
18, 57752
20, 53822
13, 58439
48, 58774
17, 55835
35, 62281
66, 54062
53, 48043
88, 52574
22, 47678
95, 65625
33, 42242
27, 72320
29, 65863
57, 54950
27, 59693
65, 60912
76, 59736
16, 65743
11, 52338
80, 48701
00, 46922
84, 48068
21, 64377
66, 64664
44, 58123
22, 56533
37, 57634
09, 51865
03, 45931
78, 58054
94, 57276
29, 56738
61, 62880
36, 57103
50, 58707
23, 59915
