1, 106377
2, 17196
3, 21186
4, 16763
5, 16261
6, 16913
7, 16778
8, 17532
9, 18539
10, 14243
11, 14034
12, 15669
13, 16113
14, 14357
15, 15879
16, 18339
17, 17887
18, 16487
19, 17632
20, 14639
21, 24120
22, 17147
23, 16699
24, 18994
25, 17822
26, 16676
27, 16453
28, 19700
29, 16175
30, 14637
31, 16525
32, 16815
33, 16707
34, 15966
35, 16368
36, 17526
37, 16214
38, 15534
39, 15642
40, 14095
41, 16445
42, 17304
43, 15978
44, 15563
45, 18878
46, 16112
47, 16615
48, 14230
49, 20072
50, 14803
51, 16791
52, 16564
53, 15827
54, 15830
55, 15184
56, 20053
57, 16028
58, 15772
59, 16356
60, 14850
61, 16781
62, 16136
63, 15779
64, 14694
65, 15701
66, 14760
67, 14889
68, 16917
69, 16589
70, 14654
71, 15246
72, 14399
73, 15513
74, 15397
75, 16524
76, 13765
77, 15504
78, 13967
79, 16307
80, 14495
81, 13498
82, 16753
83, 17516
84, 17038
85, 17050
86, 14852
87, 17894
88, 16662
89, 18503
90, 16215
91, 18290
92, 18797
93, 16681
94, 16813
95, 25240
96, 15288
97, 17157
98, 15734
99, 15861
100, 16062
101, 14440
102, 14821
